,Año,Compañia,Region,Retail Price,Search Engine,Free Shipping,S/Q Rating,Num Models,Brand Advertising,Celebrity Appeal,Brand Reputation,Online Orders,Pairs Sold,Market Share
17,14,D,EA,103.5,0,0,10.0,300.0,9000,145,71,338,338,0.1444
18,14,E,EA,99.0,7000,0,7.4,350.0,11000,215,71,541,541,0.2311
28,14,A,AP,112.39,13000,1,10.0,100.0,25500,60,100,455,455,0.2237
29,14,B,AP,96.0,4000,0,6.6,450.0,8000,0,84,321,321,0.1578
30,14,C,AP,90.0,5500,1,6.0,300.0,9500,60,79,430,430,0.2114
31,14,D,AP,105.5,0,1,10.0,300.0,9000,155,71,310,310,0.1524
32,14,E,AP,97.5,7000,1,7.4,350.0,10000,235,71,518,518,0.2547
42,14,A,LA,117.0,13000,1,9.6,100.0,24000,95,100,485,485,0.2343
43,14,B,LA,98.9,4000,0,6.3,395.7,7500,0,84,332,332,0.1604
44,14,C,LA,93.0,5500,1,6.0,329.5,9000,100,79,554,554,0.2676
45,14,D,LA,107.0,0,0,10.0,300.0,7500,100,71,238,238,0.115
46,14,E,LA,99.0,6250,0,7.4,350.0,9500,195,71,461,461,0.2227
0,15,A,NA,118.6,13000,1,10.0,100.0,25500,195,100,701,701,0.2236
1,15,B,NA,100.0,8000,0,7.9,500.0,11000,40,70,504,504,0.1608
2,15,C,NA,105.0,10000,0,6.3,481.4,14000,0,78,484,484,0.1544
3,15,D,NA,112.0,0,1,10.0,450.0,10500,85,94,504,504,0.1608
4,15,E,NA,100.0,12000,1,8.2,450.0,16000,170,76,942,942,0.3005
14,15,A,EA,111.6,13000,1,10.0,100.0,25000,175,100,699,699,0.2603
15,15,B,EA,105.5,8000,0,6.8,434.0,10000,85,70,393,393,0.1464
16,15,C,EA,109.0,250,1,6.3,465.9,12000,0,78,357,357,0.133
17,15,D,EA,112.0,250,1,10.0,450.0,9000,65,94,425,425,0.1583
18,15,E,EA,102.0,12000,1,8.2,450.0,16000,170,76,811,811,0.302
28,15,A,AP,113.0,13000,1,10.0,100.0,26000,255,100,608,608,0.255
29,15,B,AP,100.0,8000,0,7.5,500.0,9500,60,70,401,401,0.1682
30,15,C,AP,98.0,2000,1,6.4,408.9,12000,0,78,338,338,0.1418
31,15,D,AP,113.0,0,1,10.0,450.0,9000,60,94,340,340,0.1426
32,15,E,AP,100.0,12000,1,8.2,450.0,17000,135,76,697,697,0.2924
42,15,A,LA,117.2,13000,1,10.0,100.0,24500,220,100,641,641,0.2638
43,15,B,LA,105.5,8000,0,7.3,450.7,9500,100,70,430,430,0.177
44,15,C,LA,101.0,4000,1,6.5,413.5,9000,0,78,429,429,0.1765
45,15,D,LA,113.0,250,1,10.0,346.1,7500,40,94,303,303,0.1247
46,15,E,LA,102.0,10000,0,8.2,450.0,13000,130,76,627,627,0.258
0,16,A,NA,103.5,16000,1,10.0,100.0,30000,235,100,948,948,0.2705
1,16,B,NA,100.0,10000,0,8.7,500.0,15000,125,71,535,535,0.1526
2,16,C,NA,108.0,10500,1,6.4,488.9,14000,70,70,483,483,0.1378
3,16,D,NA,119.0,19000,1,10.0,450.0,26000,0,97,677,677,0.1932
4,16,E,NA,104.0,18000,1,8.5,450.0,22000,60,98,862,862,0.2459
14,16,A,EA,103.5,16000,1,10.0,100.0,30000,195,100,858,858,0.2842
